2019-10-25 15:41:16,097 | DEBUG | c.e.d.c.ItemController | [main] | fetching item by name : item | 
2019-10-25 15:41:16,098 | DEBUG | c.e.d.c.ItemController | [main] | fetching item with id : 1 | 
2019-10-25 15:41:16,149 | INFO | c.e.d.c.CartController | [main] | submit order success : with id : null | 
2019-10-25 15:41:16,150 | INFO | c.e.d.c.CartController | [main] | submit order failed for user username : null | 
2019-10-25 15:41:16,152 | DEBUG | c.e.d.c.CartController | [main] | get order success with username : udacity | 
2019-10-25 15:41:16,153 | INFO | c.e.d.c.CartController | [main] | get order failed for user username : null | 
2019-10-25 15:41:16,183 | DEBUG | c.e.d.c.CartController | [main] | Find user by username : udacity | 
2019-10-25 15:41:16,185 | DEBUG | c.e.d.c.CartController | [main] | create user request : udacity | 
2019-10-25 15:41:16,185 | INFO | c.e.d.c.CartController | [main] | user creation Failed : Invalid password provided. | 
2019-10-25 15:41:16,185 | DEBUG | c.e.d.c.CartController | [main] | create user request : udacity | 
2019-10-25 15:41:16,186 | INFO | c.e.d.c.CartController | [main] | user creation Failed : Invalid password provided. | 
2019-10-25 15:41:16,186 | DEBUG | c.e.d.c.CartController | [main] | create user request : udacity | 
2019-10-25 15:41:16,190 | INFO | c.e.d.c.CartController | [main] | user creation success : with username : udacity | 
2019-10-25 15:42:03,040 | INFO | c.e.d.AuthenticationTest | [main] | Starting AuthenticationTest on PH-MTHAKUR with PID 24940 (started by mthakur in C:\Users\mthakur.CLINFO\Dropbox\java\projects\P04-eCommerce Application) | 
2019-10-25 15:42:03,049 | DEBUG | c.e.d.AuthenticationTest | [main] | Running with Spring Boot v2.1.5.RELEASE, Spring v5.1.7.RELEASE | 
2019-10-25 15:42:03,050 | INFO | c.e.d.AuthenticationTest | [main] | No active profile set, falling back to default profiles: default | 
2019-10-25 15:42:09,753 | INFO | c.e.d.AuthenticationTest | [main] | Started AuthenticationTest in 7.006 seconds (JVM running for 8.707) | 
2019-10-25 15:42:10,123 | DEBUG | c.e.d.c.CartController | [http-nio-auto-1-exec-1] | create user request : udacity | 
2019-10-25 15:42:10,267 | INFO | c.e.d.c.CartController | [http-nio-auto-1-exec-1] | user creation success : with username : udacity | 
2019-10-25 15:42:10,561 | INFO | c.e.d.c.CartController | [main] | Item added to cart successfully with item id : 1 | 
2019-10-25 15:42:10,569 | DEBUG | c.e.d.c.CartController | [main] | User not found with username : null | 
2019-10-25 15:42:10,571 | INFO | c.e.d.c.CartController | [main] | Item removed from cart with id : 2 | 
